Card_type,Date,Category,Transaction Type,Amount
Platinum Card,3/17/2018,Fast Food,debit,23.34
Silver Card,3/19/2018,Restaurants,debit,36.48
Checking,3/19/2018,Utilities,debit,35
Platinum Card,3/20/2018,Shopping,debit,14.97
Silver Card,3/22/2018,Gas & Fuel,debit,30.55
Platinum Card,3/23/2018,Credit Card Payment,credit,559.91
Checking,3/23/2018,Credit Card Payment,debit,559.91
Silver Card,3/23/2018,Groceries,debit,11.76
Checking,3/26/2018,Internet,debit,74.99
Silver Card,3/28/2018,Groceries,debit,16.06
Silver Card,3/28/2018,Restaurants,debit,24.98
Silver Card,3/29/2018,Restaurants,debit,17.64
Silver Card,3/30/2018,Groceries,debit,9.09
Checking,3/30/2018,Paycheck,credit,2000
